,Token Counts,Keyword #1,Keyword #2,Keyword #3,Keyword #4,Keyword #5,Keyword #6,Keyword #7,Keyword #8,Keyword #9,Keyword #10
Topic #0,628728,covidvaccin,vaccin,covid,get,peopl,dose,first,today,need,nt
Topic #1,612497,covidvaccin,vaccin,covid,get,dose,peopl,first,today,got,nt
Topic #2,65286,covidvaccin,vaccin,dose,got,first,today,covid,get,feel,second
Topic #3,53889,vaccin,covid,covidvaccin,trial,coronaviru,pfizer,effect,approv,first,dose
Topic #4,40179,covidvaccin,vaccin,covid,nh,thank,receiv,work,today,staff,get
Topic #5,25530,vaccin,covidvaccin,covid,india,first,dose,covishield,minist,health,drive
Topic #6,24645,covidvaccin,covid,vaccin,get,coronaviru,mask,face_with_tears_of_joy,peopl,say,nt
Topic #7,23605,covidvaccin,vaccin,covid,question,dr,join,answer,discuss,inform,us
Topic #8,5508,covidvaccin,vaccin,get,covid,put,whole,even,today,thank,help
Topic #9,5175,year,pleas,postpon,tokyoolymp,parisolymp,laolymp,hello,nbcnew,nbcolymp,janon
Topic #10,5008,covidvaccin,dr,largestvaccinedr,warn,wakefield,vax,genet,irrevers,modif,share
Topic #11,3659,covidvaccin,covid,terror,trump,via,vaccin,youtub,vatican,jesuit,biden
Topic #12,3636,covidvaccin,covid,fordnat,justintrudeau,thank,vaccin,cdnpoli,canada,trudeau,ontario
Topic #13,2931,covidvaccin,covid,clapping_hand,covidiot,coviduk,ye,covidmillionair,vaccin,covidireland,backhand_index_pointing_down
Topic #14,2461,covidvaccin,vaccin,publix,florida,govrondesanti,appoint,counti,covid,distribut,got
Topic #15,2305,covidvaccin,covid,c,collect,auburn,vaccin,sundaythought,mondaymotiv,wednesdaythought,show
Topic #16,2161,covidvaccin,episod,listen,learn,covid,podcast,health,weightloss,food,eat
Topic #17,2091,covidvaccin,vaccin,pleas,thank,share,us,covid,help,word,spread
Topic #18,1627,covidvaccin,covid,vaccin,budget,get,free,rs,crore,go,video
Topic #19,1537,covidvaccin,vaccin,covid,hseliv,donnellystephen,xspa,stop,rocket,clapping_hands_medium_skin_ton,go
Topic #20,1529,covidvaccin,borisjohnson,covid,lockdown,take,potu,nt,anoth,amandaholden,look
Topic #21,1512,covidvaccin,covid,vaccin,style,fashion,facecov,facemask,cure,model,covid_
Topic #22,1346,covidvaccin,covid,vaccin,dr,busi,take,pfizer,concern,thread,chang
Topic #23,1319,covidvaccin,well,done,star,great,get,go,thank,see,team
Topic #24,1189,covidvaccin,dr,import,director,got,get,invest,week,vaccin,sicklecel
Topic #25,1160,covidvaccin,covid,red_heart,nowplay,music,amazonmus,explicit,amazon,blacklivesmatt,maskupmemphi
Topic #26,1007,covidvaccin,covid,vaccin,cartoon,polit,excel,news,galleri,lka,conspiraci
Topic #27,944,covidvaccin,thank,dr,get,discuss,work,great,imperialnh,show,keep
Topic #28,850,covidvaccin,stock,follow,check,need,video,al,week,tiktok,new
