Topics,Alpha,Beta,Coherence_cv,Coherence_umass
103,0.01,0.01,0.9217016054872889,-12.009948355196988
19,0.01,0.11,0.9074634222880655,-12.449195310458727
15,0.01,0.21000000000000002,0.9007400187461269,-15.307030760032388
9,0.01,0.31000000000000005,0.8850625263793127,-14.826583475547888
6,0.01,0.41000000000000003,0.8408577464520932,-15.648706273812566
4,0.01,0.51,0.8238361196858542,-14.69722633203915
4,0.01,0.6100000000000001,0.8102870802084603,-17.040308183791424
3,0.01,0.7100000000000001,0.7548877755800883,-14.895640481043104
4,0.01,0.81,0.8457362174987794,-13.874406805788377
4,0.01,0.91,0.8305933271845184,-12.213676565280323
97,0.11,0.01,0.9228724283263798,-12.900285409013346
17,0.11,0.11,0.9001052628392755,-14.775282325974763
16,0.11,0.21000000000000002,0.8986337094079883,-15.590851413319772
7,0.11,0.31000000000000005,0.8530399769544603,-17.254156290512864
7,0.11,0.41000000000000003,0.856844306804917,-15.848364753994787
5,0.11,0.51,0.8351545700430869,-16.919866727172415
5,0.11,0.6100000000000001,0.8501099175877043,-15.148215470567655
4,0.11,0.7100000000000001,0.7851469993591308,-16.144076479168067
3,0.11,0.81,0.7712877467274666,-15.699109264337777
4,0.11,0.91,0.8485891299588338,-13.319026466542194
88,0.21000000000000002,0.01,0.915921236872674,-12.76917196035654
19,0.21000000000000002,0.11,0.9123193161054091,-13.446801171595096
12,0.21000000000000002,0.21000000000000002,0.8887692901823256,-14.864068546990264
5,0.21000000000000002,0.31000000000000005,0.8072840951383112,-18.360124209562773
5,0.21000000000000002,0.41000000000000003,0.8272574213147161,-15.725339534025727
4,0.21000000000000002,0.51,0.8074855916202068,-16.178144013256446
4,0.21000000000000002,0.6100000000000001,0.7986155999558313,-14.412779729244637
5,0.21000000000000002,0.7100000000000001,0.8367618821561336,-14.831929785345636
4,0.21000000000000002,0.81,0.8158275531870978,-13.690313205140464
5,0.21000000000000002,0.91,0.8382948733866213,-14.707409308195933
87,0.31000000000000005,0.01,0.9197295135573331,-11.550542472907436
16,0.31000000000000005,0.11,0.8994187048890377,-15.549063164599243
13,0.31000000000000005,0.21000000000000002,0.9045397364430957,-13.639701365290867
13,0.31000000000000005,0.31000000000000005,0.8814645878473917,-14.488764606189637
6,0.31000000000000005,0.41000000000000003,0.8486751846969127,-14.09754262072423
5,0.31000000000000005,0.51,0.826133032515645,-15.629064829476711
4,0.31000000000000005,0.6100000000000001,0.8129925175969089,-13.818813513508278
4,0.31000000000000005,0.7100000000000001,0.8179418090730906,-16.112385737200544
4,0.31000000000000005,0.81,0.813101613521576,-14.254652560875856
4,0.31000000000000005,0.91,0.7940388133128483,-15.860501444981145
90,0.41000000000000003,0.01,0.9181813367689494,-12.040883916960212
20,0.41000000000000003,0.11,0.9150274495283766,-13.852080633692433
11,0.41000000000000003,0.21000000000000002,0.8865169015000849,-15.636593255024316
6,0.41000000000000003,0.31000000000000005,0.8371982298218286,-15.438114788259137
6,0.41000000000000003,0.41000000000000003,0.8255510352551937,-14.560265701155995
5,0.41000000000000003,0.51,0.8285635530948637,-15.09248704749992
5,0.41000000000000003,0.6100000000000001,0.8187223128146596,-17.67487734171267
4,0.41000000000000003,0.7100000000000001,0.8211021453142167,-14.713022093061829
4,0.41000000000000003,0.81,0.8178506230314572,-13.090318573595281
4,0.41000000000000003,0.91,0.8047640780607859,-15.994902708550155
83,0.51,0.01,0.9230716779523958,-12.62873862889195
15,0.51,0.11,0.89663565993309,-13.65364342769523
11,0.51,0.21000000000000002,0.8876972187310459,-14.491805328715978
12,0.51,0.31000000000000005,0.8944581248930522,-11.727189275460308
5,0.51,0.41000000000000003,0.8390173517167567,-15.2054389617017
4,0.51,0.51,0.8023801739726747,-13.68812398361166
4,0.51,0.6100000000000001,0.8095762492556656,-15.86419791298475
6,0.51,0.7100000000000001,0.8218490283936262,-15.219755210359788
5,0.51,0.81,0.82517087161541,-15.116119135182654
4,0.51,0.91,0.806089926958084,-12.493181695746966
80,0.6100000000000001,0.01,0.9157476836062483,-12.761178795898259
14,0.6100000000000001,0.11,0.8838498646304722,-16.499497544456958
12,0.6100000000000001,0.21000000000000002,0.8903724003169271,-15.613053810156844
5,0.6100000000000001,0.31000000000000005,0.8198078811168672,-13.556321402381815
4,0.6100000000000001,0.41000000000000003,0.7925045907497406,-14.411707131735424
5,0.6100000000000001,0.51,0.844911354993071,-12.953271476593168
4,0.6100000000000001,0.6100000000000001,0.7781127862632276,-17.140040807258128
4,0.6100000000000001,0.7100000000000001,0.7810744421822683,-15.940274939426313
4,0.6100000000000001,0.81,0.795906930736133,-16.306312182163374
6,0.6100000000000001,0.91,0.8405561880932912,-14.133929485198742
72,0.7100000000000001,0.01,0.9121105554203179,-14.172028014265214
13,0.7100000000000001,0.11,0.8835205129214695,-16.297540259033575
8,0.7100000000000001,0.21000000000000002,0.8557497128844259,-18.601980069390855
7,0.7100000000000001,0.31000000000000005,0.8570842224359513,-13.684293099695768
5,0.7100000000000001,0.41000000000000003,0.8428360130105702,-11.708413601700945
4,0.7100000000000001,0.51,0.823138578236103,-12.347499033978968
5,0.7100000000000001,0.6100000000000001,0.8195055429424559,-14.23342944343973
5,0.7100000000000001,0.7100000000000001,0.7977025715368136,-15.44768945851057
4,0.7100000000000001,0.81,0.8348748493194581,-10.016350327821169
4,0.7100000000000001,0.91,0.8015748602648577,-14.380421447734529
73,0.81,0.01,0.9135892923959746,-13.799846039052632
12,0.81,0.11,0.8902554273605344,-15.336651965477667
7,0.81,0.21000000000000002,0.8465136802196506,-18.631684918418934
4,0.81,0.31000000000000005,0.8238312897582851,-15.590704549388514
4,0.81,0.41000000000000003,0.7942103437014989,-15.279905409788507
3,0.81,0.51,0.765012507736683,-12.878254345201722
4,0.81,0.6100000000000001,0.7874291777610779,-15.868845988755089
4,0.81,0.7100000000000001,0.7935018928987639,-15.352576953448722
6,0.81,0.81,0.8193278551101684,-16.299164705859788
4,0.81,0.91,0.7861506000161171,-16.93622324077738
74,0.91,0.01,0.9236665228191693,-14.47718020628418
10,0.91,0.11,0.8752623677253724,-17.68318637174763
7,0.91,0.21000000000000002,0.8597203782200813,-12.979096333497495
5,0.91,0.31000000000000005,0.8492842574914297,-14.30375485618449
5,0.91,0.41000000000000003,0.8279204520914291,-16.06743579455323
4,0.91,0.51,0.8255881501095634,-14.242832060682991
3,0.91,0.6100000000000001,0.770602747797966,-15.945484129672364
4,0.91,0.7100000000000001,0.7771928423394759,-13.403379656594817
4,0.91,0.81,0.7803225378195445,-15.821490220674185
4,0.91,0.91,0.7976803521315255,-14.349640420223453
